lei,name,domain,country
213800ZTI9SXFRYIYB16,FUSION INDUSTRIAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,fusion.net,pl
213800QORNZ671ZTBU33,FRANCIACORTA RETAIL S.R.L.,franciacorta.net,it
2138007UTSU6NE1KQ893,SIGMA (LOGISTICS) HOLDCO B.V.,sigmaaldrich.com,nl
213800LX1ZMH6DNFQ324,PRUDENTIAL POLSKA SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,prudential.com,pl
213800JIL168GVH43C89,FI EQUITY PARTNERS B.V.,fidelity.com,nl
213800FCNUKJWXAXV776,EXECUTORS OF G R CARR DECEASED,executorsupport.com,es
213800GQ9AOVPFJU4Y90,CRAIGMORE SUSTAINABLES N.V.,craigmoreonline.co.uk,nl
222100GOAM8XNW9PH520,INNOFIX,innofixt.com,nl
222100CU8KQUMMPID819,BEHEERSMAATSCHAPPIJ HEEMELS B.V.,beheersmaatschappij.nl,nl
222100FX59QDQQEUZQ02,LATENSTEIN BEHEER B.V.,latenstein.nl,nl
222100NVXJFZHL4PR144,C.D. PHARMA BEHEER B.V.,cdc.gov,nl
222100JGH65324WBQP59,JONGMANS HOLDING B.V.,jongmans-fysiosupport.nl,nl
2138004ZRVZ61Z435D85,STRUMENTI DI VIAGGIO S.R.L,strumentimusicali.net,it
2138009PE32JXV58YH37,AMIRAL S.R.L,amiral.com.sa,it
213800WFDBM71B7XQ118,CARREBLU SRL,carreblu.travel,it
213800ZZOC4W4RHAB604,CSDP SRL,csdpatrol.com,it
213800LSHUORJYPFP505,LOGMARIN ADVISORS SOCIETA' A RESPONSABILITA' LIMITATA,log6marine.com,it
213800H5YMXES3XMTM64,SMARTMEDIA S.R.L.,smartmedia.co.id,it
213800ZK57UXZI8BGJ87,EXFIN CAPITAL B.V.,exfin.com,nl
213800PZYIH4PE59CP79,DEFOSSEZ.BIZ SARL,defossezbiz.com,fr
213800L132BIXUBVHO74,PANEUROPEAN CATHARIJNESINGEL 56 B.V.,paneurosolutions.com,nl
213800WVJXPDWC6PFJ76,CP EUROPE SENIORCO B.V.,cplusplus.com,nl
213800DYU2CRPK3QJT04,MBERP III (DEUTSCHLAND) 3 GMBH,mberp.com,de
213800HDVQXGS1GSZT90,ARCTIC SAINT-RAMBERT SCI,arcticcool.com,fr
213800YD4GKYXH4BX986,ALLYSEE HOLDING B.V.,allyseek.com,nl
213800ZBUWGSGUADS465,INTL NETHERLANDS B.V.,intlsign.com,nl
213800Q3736ZQM4X2D89,MC-HOLDING GMBH,mcholdings.com.au,de
213800G8KIOMDJOZ4Z24,IVORY GMBH,ivory.co.il,de
2138006U1UF15DYO6Z15,DOCKWISE SHIPPING B.V.,dockwise.com,nl
213800EPX6PY5Z8TF813,BAGGERMAATSCHAPPIJ BOSKALIS B.V.,baggermaatschappij.nl,nl
213800ZWEHZM1WZ1G224,GEOTECHNICS B.V.,geotechnics.co.uk,nl
213800CHMI47WN4NZL20,PROTELINDO FINANCE B.V.,protelindo.net,nl
21380012JG68DFS3A317,ALPHA NETHERLANDS B.V.,alphabroder.com,nl
213800TU6CR7BJO2CI30,SUGARMAN SP Z O O,sugarman.org,pl
213800JUTBMTU1QLXH20,AIRSTAR,airstar.com,fr
