CN_Code,Direct_Emissions,Direct_Lower_Threshold,Direct_Upper_Threshold,Indirect_Emissions,Indirect_Lower_Threshold,Indirect_Upper_Threshold
72143000,1.89,0.945,3.78,0.32,0.16,0.64
72149110,1.89,0.945,3.78,0.32,0.16,0.64
72149190,1.89,0.945,3.78,0.32,0.16,0.64
72149910,1.89,0.945,3.78,0.32,0.16,0.64
72149931,1.89,0.945,3.78,0.32,0.16,0.64
72149939,1.89,0.945,3.78,0.32,0.16,0.64
72149950,1.89,0.945,3.78,0.32,0.16,0.64
72149971,1.89,0.945,3.78,0.32,0.16,0.64
72149979,1.89,0.945,3.78,0.32,0.16,0.64
72149995,1.89,0.945,3.78,0.32,0.16,0.64
72151000,1.89,0.945,3.78,0.32,0.16,0.64
72155011,1.89,0.945,3.78,0.32,0.16,0.64
72155019,1.89,0.945,3.78,0.32,0.16,0.64
72155080,1.89,0.945,3.78,0.32,0.16,0.64
72159000,1.89,0.945,3.78,0.32,0.16,0.64
72161000,1.89,0.945,3.78,0.32,0.16,0.64
72162100,1.89,0.945,3.78,0.32,0.16,0.64
72162200,1.89,0.945,3.78,0.32,0.16,0.64
72163110,1.89,0.945,3.78,0.32,0.16,0.64
72163190,1.89,0.945,3.78,0.32,0.16,0.64
72163211,1.89,0.945,3.78,0.32,0.16,0.64
72163219,1.89,0.945,3.78,0.32,0.16,0.64
72163291,1.89,0.945,3.78,0.32,0.16,0.64
72163299,1.89,0.945,3.78,0.32,0.16,0.64
72163310,1.89,0.945,3.78,0.32,0.16,0.64
72163390,1.89,0.945,3.78,0.32,0.16,0.64
72164010,1.89,0.945,3.78,0.32,0.16,0.64
72164090,1.89,0.945,3.78,0.32,0.16,0.64
72165010,1.89,0.945,3.78,0.32,0.16,0.64
72165091,1.89,0.945,3.78,0.32,0.16,0.64
72165099,1.89,0.945,3.78,0.32,0.16,0.64
72166110,1.89,0.945,3.78,0.32,0.16,0.64
72166190,1.89,0.945,3.78,0.32,0.16,0.64
72166900,1.89,0.945,3.78,0.32,0.16,0.64
72169110,1.89,0.945,3.78,0.32,0.16,0.64
72169180,1.89,0.945,3.78,0.32,0.16,0.64
72169900,1.89,0.945,3.78,0.32,0.16,0.64
72171010,1.88,0.94,3.76,0.49,0.245,0.98
72171031,1.88,0.94,3.76,0.49,0.245,0.98
72171039,1.88,0.94,3.76,0.49,0.245,0.98
72171050,1.88,0.94,3.76,0.49,0.245,0.98
72171090,1.88,0.94,3.76,0.49,0.245,0.98
72172010,1.95,0.975,3.9,0.51,0.255,1.02
72172030,1.95,0.975,3.9,0.51,0.255,1.02
72172050,1.95,0.975,3.9,0.51,0.255,1.02
72172090,1.95,0.975,3.9,0.51,0.255,1.02
72173041,1.95,0.975,3.9,0.51,0.255,1.02
72173049,1.95,0.975,3.9,0.51,0.255,1.02
72173050,1.95,0.975,3.9,0.51,0.255,1.02
72173090,1.95,0.975,3.9,0.51,0.255,1.02
72179020,1.95,0.975,3.9,0.51,0.255,1.02
72179050,1.95,0.975,3.9,0.51,0.255,1.02
72179090,1.95,0.975,3.9,0.51,0.255,1.02
72181000,2.51,1.255,5.02,2.1,1.05,4.2
72189110,2.18,1.09,4.36,1.9,0.95,3.8
72189180,2.18,1.09,4.36,1.9,0.95,3.8
72189911,2.18,1.09,4.36,1.9,0.95,3.8
72189919,2.51,1.255,5.02,2.1,1.05,4.2
72189920,2.18,1.09,4.36,1.9,0.95,3.8
72189980,2.51,1.255,5.02,2.1,1.05,4.2
72191100,2.18,1.09,4.36,1.9,0.95,3.8
72191210,2.18,1.09,4.36,1.9,0.95,3.8
72191290,2.18,1.09,4.36,1.9,0.95,3.8
72191310,2.18,1.09,4.36,1.9,0.95,3.8
72191390,2.18,1.09,4.36,1.9,0.95,3.8
72191410,2.18,1.09,4.36,1.9,0.95,3.8
72191490,2.18,1.09,4.36,1.9,0.95,3.8
72192110,2.18,1.09,4.36,1.9,0.95,3.8
72192190,2.18,1.09,4.36,1.9,0.95,3.8
72192210,2.18,1.09,4.36,1.9,0.95,3.8
72192290,2.18,1.09,4.36,1.9,0.95,3.8
72192300,2.18,1.09,4.36,1.9,0.95,3.8
72192400,2.18,1.09,4.36,1.9,0.95,3.8
72193100,2.21,1.105,4.42,1.99,0.995,3.98
72193210,2.21,1.105,4.42,1.99,0.995,3.98
72193290,2.21,1.105,4.42,1.99,0.995,3.98
72193310,2.21,1.105,4.42,1.99,0.995,3.98
72193390,2.21,1.105,4.42,1.99,0.995,3.98
72193410,2.21,1.105,4.42,1.99,0.995,3.98
72193490,2.21,1.105,4.42,1.99,0.995,3.98
72193510,2.21,1.105,4.42,1.99,0.995,3.98
72193590,2.21,1.105,4.42,1.99,0.995,3.98
72199020,2.21,1.105,4.42,1.99,0.995,3.98
72199080,2.21,1.105,4.42,1.99,0.995,3.98
72201100,2.18,1.09,4.36,1.9,0.95,3.8
72201200,2.18,1.09,4.36,1.9,0.95,3.8
72202021,2.21,1.105,4.42,1.99,0.995,3.98
72202029,2.21,1.105,4.42,1.99,0.995,3.98
72202041,2.21,1.105,4.42,1.99,0.995,3.98
72202049,2.21,1.105,4.42,1.99,0.995,3.98
72202081,2.21,1.105,4.42,1.99,0.995,3.98
72202089,2.21,1.105,4.42,1.99,0.995,3.98
72209020,2.21,1.105,4.42,1.99,0.995,3.98
72209080,2.21,1.105,4.42,1.99,0.995,3.98
72210010,2.14,1.07,4.28,2.17,1.085,4.34
72210090,2.14,1.07,4.28,2.17,1.085,4.34
72221111,2.14,1.07,4.28,2.17,1.085,4.34
72221119,2.14,1.07,4.28,2.17,1.085,4.34
72221181,2.14,1.07,4.28,2.17,1.085,4.34
72221189,2.14,1.07,4.28,2.17,1.085,4.34
72221910,2.14,1.07,4.28,2.17,1.085,4.34
72221990,2.14,1.07,4.28,2.17,1.085,4.34
72222011,2.14,1.07,4.28,2.17,1.085,4.34
72222019,2.14,1.07,4.28,2.17,1.085,4.34
72222021,2.14,1.07,4.28,2.17,1.085,4.34
72222029,2.14,1.07,4.28,2.17,1.085,4.34
72222031,2.14,1.07,4.28,2.17,1.085,4.34
72222039,2.14,1.07,4.28,2.17,1.085,4.34
72222081,2.14,1.07,4.28,2.17,1.085,4.34
72222089,2.14,1.07,4.28,2.17,1.085,4.34
72223051,2.51,1.255,5.02,2.1,1.05,4.2
72223091,2.51,1.255,5.02,2.1,1.05,4.2
72223097,2.51,1.255,5.02,2.1,1.05,4.2
72224010,2.14,1.07,4.28,2.17,1.085,4.34
72224050,2.14,1.07,4.28,2.17,1.085,4.34
72224090,2.14,1.07,4.28,2.17,1.085,4.34
72230011,2.13,1.065,4.26,2.36,1.18,4.72
72230019,2.13,1.065,4.26,2.36,1.18,4.72
72230091,2.13,1.065,4.26,2.36,1.18,4.72
72230099,2.13,1.065,4.26,2.36,1.18,4.72
72241010,2.41,1.205,4.82,0.79,0.395,1.58
72241090,2.41,1.205,4.82,0.79,0.395,1.58
72249002,1.95,0.975,3.9,0.4,0.2,0.8
72249003,1.95,0.975,3.9,0.4,0.2,0.8
72249005,1.95,0.975,3.9,0.4,0.2,0.8
72249007,1.95,0.975,3.9,0.4,0.2,0.8
72249014,1.95,0.975,3.9,0.4,0.2,0.8
72249018,2.41,1.205,4.82,0.79,0.395,1.58
72249031,1.95,0.975,3.9,0.4,0.2,0.8
72249038,1.95,0.975,3.9,0.4,0.2,0.8
72249090,2.41,1.205,4.82,0.79,0.395,1.58
72251100,1.95,0.975,3.9,0.4,0.2,0.8
72251910,1.95,0.975,3.9,0.4,0.2,0.8
72251990,1.98,0.99,3.96,0.49,0.245,0.98
72253010,1.95,0.975,3.9,0.4,0.2,0.8
72253030,1.95,0.975,3.9,0.4,0.2,0.8
72253090,1.95,0.975,3.9,0.4,0.2,0.8
72254012,1.95,0.975,3.9,0.4,0.2,0.8
72254015,1.95,0.975,3.9,0.4,0.2,0.8
72254040,1.95,0.975,3.9,0.4,0.2,0.8
72254060,1.95,0.975,3.9,0.4,0.2,0.8
72254090,1.95,0.975,3.9,0.4,0.2,0.8
72255020,1.98,0.99,3.96,0.49,0.245,0.98
72255080,1.98,0.99,3.96,0.49,0.245,0.98
